Title,Company,Experience,Salary,Location,Skills,Link
dot net Full Stack Developer,Mobile Programming,3-6 Yrs,Not disclosed,"Mohali, Dehradun, Hyderabad, Pune, Panchkula, Chennai, Gurugram, Bengaluru","Analytical skills, CSS, jQuery, Front end, .NET framework, Javascript, HTML, MVC",https://www.naukri.com/job-listings-dot-net-full-stack-developer-mobileprogramming-mohali-dehradun-hyderabad-pune-panchkula-chennai-gurugram-bengaluru-3-to-6-years-180723502740
Dot Net Expert,HashedIn,2-6 Yrs,Not disclosed,"Hyderabad, Pune, Gurugram, Bengaluru","C, Architecture, microsoft azure, .Net, ASP.Net, Microsoft technologies, Microsoft, DoT",https://www.naukri.com/job-listings-dot-net-expert-hashedin-technologies-hyderabad-pune-gurugram-bengaluru-2-to-6-years-310124500276
Dot Net Developer,IB Services &amp;amp; Technologies,2-4 Yrs,Not disclosed,"Hyderabad, Pune, Chennai, Bengaluru","UI development, Oracle SQL, Analytical, PLSQL, HTML, MVC, Troubleshooting, CSS3",https://www.naukri.com/job-listings-dot-net-developer-ib-services-amp-amp-technologies-hyderabad-pune-chennai-bengaluru-2-to-4-years-210622501754
Dot Net Developer,Irisidea,10-12 Yrs,Not disclosed,"Kolkata, Hyderabad, Pune, Bengaluru","SAP, Project management, Agile, OLAP, Toad, OLTP, Oracle, Apache",https://www.naukri.com/job-listings-dot-net-developer-irisidea-technologies-kolkata-hyderabad-pune-bengaluru-10-to-12-years-160623500068
.Net Fullstack Developer,Leading Client,6-11 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru",".Net, Web API, CSS, Hibernate, Angular 8+, Winforms, Entity framework, Html",https://www.naukri.com/job-listings-net-fullstack-developer-krazy-mantra-hr-solutions-pvt-ltd-hyderabad-pune-bengaluru-6-to-11-years-020425916463
Integration Engineer,Prolegion,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","c#, python, software development, integration, .net, data integration, system software development, System software",https://www.naukri.com/job-listings-integration-engineer-prolegion-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-7-years-190325507516
Dot Net Developer /Azure,Cognizant,6-11 Yrs,12-19 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Azure, C#, Dot Net, ASP.NET, Microsoft Azure, DoT, .Net, Development",https://www.naukri.com/job-listings-dot-net-developer-azure-orcapod-consulting-services-hyderabad-pune-bengaluru-6-to-11-years-110325017744
Dot Net Core Developer,ObjectWin Technology,6-11 Yrs,7-16 Lacs PA,"Hybrid - Pune, Bengaluru","Dot Net, Azure, Docker, Dot Net core, Microservices, Net Mvc, Cloud, AWS",https://www.naukri.com/job-listings-dot-net-core-developer-objectwin-technology-pune-bengaluru-6-to-11-years-190225006284
Dot Net Fullstack Developer,Tanisha Systems,5-10 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru","C#, .Net Core, .Net, Web API, REST, React.Js, aws, Angular",https://www.naukri.com/job-listings-dot-net-fullstack-developer-tanisha-systems-hyderabad-pune-bengaluru-5-to-10-years-190325021175
Recruiter,Giftabled Innoventures,3-6 Yrs,Not disclosed,"Pune, Bengaluru, Delhi / NCR","Sourcing Profiles, Interview Coordination, Screening, Consultancy, Bulk Hiring, Job Posting, Talent Sourcing, Technical Recruitment",https://www.naukri.com/job-listings-recruiter-giftabled-innoventures-pune-bengaluru-delhi-ncr-3-to-6-years-220125014611
Integration Engineer,Prolegion,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","c#, server, python, software development, postgresql, oracle dba, .net, Integration",https://www.naukri.com/job-listings-integration-engineer-prolegion-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-12-years-190325507517
Production Supervisor,JAY Jay Mills,1-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-jay-jay-mills-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-081124502222
Dot Net Software Developer,Smart Placement Services,3-8 Yrs,20-35 Lacs PA,Hybrid - Pune,"C#, asp.net MVC, c sharp, asp.net, Dot Net Automation, Software Testing, Dot, Software",https://www.naukri.com/job-listings-dot-net-software-developer-smart-placement-services-pune-3-to-8-years-280125011406
Engineer - Mechanical,Posh Automats,1-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","new projects, mechanical engineering, quality control, production, fabrication, maintenance engineering, engineering, autocad",https://www.naukri.com/job-listings-engineer-mechanical-posh-automats-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-2-years-090125500605
Talent Acquisition Specialist,Orca pod Consulting Services,4-5 Yrs,1-2.25 Lacs PA,"Pune, Delhi / NCR, Mumbai (All Areas)","IT RECRUITER, Contract Hiring, Contract Staffing, Contract To Hire, End To End Recruitment, Looking work from home, C2H, Immediate Joiner",https://www.naukri.com/job-listings-talent-acquisition-specialist-orcapod-consulting-services-pune-delhi-ncr-mumbai-all-areas-4-to-5-years-291024013101
Sr . QC Engineer,Ekk Infrastructure,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","application software, six sigma, quality control, iso, control plan, equipment, qc, quality management",https://www.naukri.com/job-listings-sr-qc-engineer-ekk-infrastructure-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-101224501396
Dot Net Developer,Infovision Labs,4-6 Yrs,10-19 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Web Api, .Net, ASP.Net, SQL, SQL Server, MVC, Development, DoT",https://www.naukri.com/job-listings-dot-net-developer-infovision-labs-hyderabad-pune-bengaluru-4-to-6-years-090325003051
Dot Net Developer,Zenith Consultants Software,5-10 Yrs,Not disclosed,Pune,"Dotnetfullstack, Angular, C#, asp.net, MVC, webapi, DoT, Web API",https://www.naukri.com/job-listings-dot-net-developer-zenith-consultants-software-pune-5-to-10-years-260325017392
QA/QC Engineers,SV Tech Engineering Consultants,5-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","qaqc, Quality assurance engineering, QC, QC engineering, QC, Quality assurance",https://www.naukri.com/job-listings-qa-qc-engineers-sv-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-6-years-101224500969
Dot Net Fullstack Developer,Zenith Consultants Software,5-10 Yrs,Not disclosed,Pune,"Web Api, Dot netfullstack, Angular, C#, .Net, react, MVC, DoT",https://www.naukri.com/job-listings-dot-net-fullstack-developer-zenith-consultants-software-pune-5-to-10-years-270325017793
Dot Net Developer | contract,Infosys,8-12 Yrs,10-15 Lacs PA,"Mysuru, Pune",".Net Core, SyBase, SQL, Powershell, MVC, Development, DoT, .Net",https://www.naukri.com/job-listings-dot-net-developer-contract-srs-infoway-mysuru-pune-8-to-12-years-270325009345
DOT NET Developer,Criska Business Consulting,6-11 Yrs,Not disclosed,"Pune, Bengaluru","assembly language, C, HTML, SQL, Six Sigma, PMP, JavaScript, Real Time Operating Systems",https://www.naukri.com/job-listings-dot-net-developer-criska-business-consulting-pvt-ltd-pune-bengaluru-6-to-11-years-280817500664
Vehicle Loan - Auto-Mobile/Mechanical Engineers,Manappuram Asset Finance,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","mechanical engg, mechanical engineering, production, cad, autocad, design engineering, catia, automobile",https://www.naukri.com/job-listings-vehicle-loan-auto-mobile-mechanical-engineers-manappuram-asset-finance-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-101224503272
Dot Net Developer Analyst Sr,Ewave,5-9 Yrs,Not disclosed,"Indore, Hyderabad, Pune, Ahmedabad, Bengaluru","Mining, LINQ, Front end, Coding, Integration testing, Agile, Entity framework, Scrum",https://www.naukri.com/job-listings-dot-net-developer-analyst-sr-ewave-indore-hyderabad-pune-ahmedabad-bengaluru-5-to-9-years-100125500774
Dot Net Developer,Aventior Digital,7-12 Yrs,Not disclosed,Remote,"Dotnet Development, Azure Cloud, Javascript, ASP.Net, Asp.Net Core, Entity Framework, SQL, DoT",https://www.naukri.com/job-listings-dot-net-developer-aventior-digital-pune-7-to-12-years-280125011969
Software Principal Engineer - SRE,Boomi Software,9-14 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","RTOS, Product management, Automation, Service engineering, splunk, Production Manager, HTTP, Oracle",https://www.naukri.com/job-listings-software-principal-engineer-sre-boomi-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-9-to-14-years-110325506031
Gas Engineer,Shan Ship Managment,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","new projects, project management, mechanical engineering, iso, production, engineering, autocad, new product development",https://www.naukri.com/job-listings-gas-engineer-shan-ship-management-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-5-years-101224503301
Production Chemist,Elfin Pharma,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","production management, daily production planning, manpower handling, shift planning, production, production planning control, customer service, manufacturing",https://www.naukri.com/job-listings-production-chemist-elfin-pharma-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-150125501596
DOT Net With Azure Architect,Squalas,1-12 Yrs,Not disclosed,"Hyderabad, Pune, Bengaluru","cloud security, Powershell, Consulting, Active directory, Application development, Windows, Visual Studio, microsoft",https://www.naukri.com/job-listings-dot-net-with-azure-architect-squalas-hyderabad-pune-bengaluru-1-to-12-years-060822500468
Material Engineer,Shrishri Infrastructure,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Fabrication, Supervisor, Finished products, Material selection, Product design, Machinery, Cost, Electricals",https://www.naukri.com/job-listings-material-engineer-shrishri-infrastructure-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-030524501543
Dot Net Full Stack with Angular 16+,Staffice Global,5-9 Yrs,Not disclosed,"Hyderabad, Pune, Chennai, Bengaluru","NoSQL, Web technologies, Cloud, Programming, Cosmos, AWS, SQL, microservices",https://www.naukri.com/job-listings-dot-net-full-stack-with-angular-16-staffice-global-hyderabad-pune-chennai-bengaluru-5-to-9-years-070225506533
Mid Level - Dot Net Developer,delaPlex,3-5 Yrs,Not disclosed,Pune,"Front end, Version control, GIT, Web technologies, Javascript, Supply chain solutions, HTML, ASP.Net MVC",https://www.naukri.com/job-listings-mid-level-dot-net-developer-delaplex-software-pune-3-to-5-years-210225502399
Dot NET Developer,Zymr Systems,1-4 Yrs,Not disclosed,"Pune, Ahmedabad","Analytical skills, Version control, GIT, Web services, Cloud Services, Project management, Visual Studio, Unit testing",https://www.naukri.com/job-listings-dot-net-developer-zymr-systems-pvt-ltd-pune-ahmedabad-1-to-4-years-200325505142
Full Stack Dot Net Developer (Fully WFH),JHTS Offshore Resource Pvt Ltd,3-8 Yrs,Not disclosed,Remote,"C#, Dot Net, Entity Framework, Dot Net core, SQL, Vue.Js, API, MVC",https://www.naukri.com/job-listings-full-stack-dot-net-developer-fully-wfh-jhts-offshore-resource-pvt-ltd-pune-3-to-8-years-170325014930
Sr Dot Net developer,Decisivedge,3-5 Yrs,Not disclosed,Pune,"Performance tuning, Data management, Coding, Database design, Healthcare, Application development, Business intelligence, SDLC",https://www.naukri.com/job-listings-sr-dot-net-developer-decisivedge-pune-3-to-5-years-230125502620
Sr Dot Net Developer,Whizible,5-10 Yrs,Not disclosed,Pune,"IT services, Performance tuning, jQuery, Javascript, JSON, Project planning, Windows, WCF",https://www.naukri.com/job-listings-sr-dot-net-developer-whizible-pune-5-to-10-years-210225501787
Quality Engineer - Civil,Bondada Engineering,2-5 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad","quality control, quality audit, production, engineering, autocad, quality analysis, qc, quality engineering",https://www.naukri.com/job-listings-quality-engineer-civil-bondada-engineering-pvt-ltd-mumbai-nagpur-thane-nashik-pune-aurangabad-2-to-5-years-170325503861
Dot NET/C# Developer,Cctech,2-5 Yrs,Not disclosed,Pune,"Computer science, Version control, Debugging, Integration testing, Agile, Scrum, Unit testing, Continuous improvement",https://www.naukri.com/job-listings-dot-net-c-developer-centre-for-computational-technologies-pvt-ltd-pune-2-to-5-years-191224500762
Dot Net Fullstack Developer,A Premium Client,6-9 Yrs,15-30 Lacs PA,Pune(Kharadi),"Fullstack Development, angular, Javascript, .Net, React.Js, Full Stack, Development, ASP.Net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-asvatthah-pune-6-to-9-years-170325014889
Dot Net Fullstack Developer,GR Engineering Projects,3-6 Yrs,Not disclosed,"Nashik, Pune","react.js, .Net Core, C#, ASP.Net, SQL, DoT, Net Fullstack, .Net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-gr-engineering-projects-nashik-pune-3-to-6-years-250325010868
Job Openings For dot net full stack-Pune,leading investment bank,9-14 Yrs,Not disclosed,Pune,"C#, .Net, Angular, javascript, MQ, Kafka",https://www.naukri.com/job-listings-openings-for-dot-net-full-stack-pune-think-people-solutions-pune-9-to-14-years-180325026584
Senior Dot Net Developer,Pathlock,10-12 Yrs,Not disclosed,"Chandigarh, Pune, Bengaluru","Computer science, Software design, C, Coding, Analytical, Agile, Programming, Database",https://www.naukri.com/job-listings-senior-dot-net-developer-appsian-chandigarh-pune-bengaluru-10-to-12-years-190324500235
Dot Net + Azure,Pradeepit Consulting Services,5-7 Yrs,Not disclosed,Pune,"C, Microsoft Azure, .Net, DoT",https://www.naukri.com/job-listings-dot-net-azure-pradeepit-pune-5-to-7-years-200325502974
Sr. Dot Net Fullstack Developer,Mobile Programming,5-8 Yrs,Not disclosed,"Mohali, Dehradun, Pune, Panchkula, Chennai, Gurugram, Bengaluru","Web technologies, html5, Agile development, .Net, MVC, ASP.Net MVC, SQL, CSS3",https://www.naukri.com/job-listings-sr-dot-net-fullstack-developer-mobileprogramming-mohali-dehradun-pune-panchkula-chennai-gurugram-bengaluru-5-to-8-years-250522501369
Dot Net Fullstack Developer,Pathlock,6-7 Yrs,Not disclosed,"Chandigarh, Pune, Bengaluru","Computer science, Software design, Backend, C, SQL database, Coding, Analytical, Programming",https://www.naukri.com/job-listings-dot-net-fullstack-developer-appsian-chandigarh-pune-bengaluru-6-to-7-years-190324500220
Dot Net Developer_Analyst Architect,Clarice Technologie,9-16 Yrs,Not disclosed,Pune,"Client handling, LINQ, Front end, Architecture, Enterprise architecture, Agile, Manager Technology, Entity framework",https://www.naukri.com/job-listings-dot-net-developer-analyst-architect-clarice-technologie-pune-9-to-16-years-150125501494
Sr. Dot Net Developer,Mobile Programming,4-5 Yrs,Not disclosed,"Mohali, Dehradun, Pune, Panchkula, Chennai, Gurugram, Bengaluru","FxCop, jQuery, Agile, Scrum, WCF, Stored procedures, application architecture, Reporting tools",https://www.naukri.com/job-listings-sr-dot-net-developer-mobileprogramming-mohali-dehradun-pune-panchkula-chennai-gurugram-bengaluru-4-to-5-years-250522501368
.Net Full Stack Developer,IT Industry,7-9 Yrs,Not disclosed,"Noida, Pune, Chennai","Dot net core, .Net, AWS, Angular, C#, WEB API, MVVM, MVP",https://www.naukri.com/job-listings-net-full-stack-developer-serendipity-corporate-services-noida-pune-chennai-7-to-9-years-210325905392
Dot NET Developers,Rminds India,5-10 Yrs,Not disclosed,"Hyderabad, Pune","server, jquery, microservices, sql, automation, mvvm, git, xml",https://www.naukri.com/job-listings-dot-net-developers-rminds-india-hyderabad-pune-5-to-10-years-241224506213
Dynamics Crm Consultant,Rarr Technologies,6-11 Yrs,16-22.5 Lacs PA,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","C#, Dot net, Power automate, Power apps, Dynamic CRM, Application, Dynamic, Consulting",https://www.naukri.com/job-listings-dynamics-crm-consultant-rarr-technologies-pune-bengaluru-mumbai-all-areas-6-to-11-years-240325024555
Dot Net Developer,CyberFIT,3-8 Yrs,4-9 Lacs PA,Pune(Bavdhan),"C#, API authentication, windows desktop app development, .net core, wpf, JWT, Development, DoT",https://www.naukri.com/job-listings-dot-net-developer-cyberfit-pune-3-to-8-years-240325003738
Process Planning - Engineer,Tata Technologies,3-6 Yrs,Not disclosed,Pune,"Process Planning, Industrial Engineering, Advanced Manufacturing engineering, Digital Mockup, Line balancing, Manufacturing engineering, Vehicle assembly, Process Engineering",https://www.naukri.com/job-listings-process-planning-engineer-tata-technologies-ltd-pune-3-to-6-years-120325918812
Production Engineer,Dyna Biotech,2-6 Yrs,2.4-4.2 Lacs PA,Pune(Yavat),"Fabrication, Welding Inspection, Stainless Steel, Equipment Manufacturing, Project, AutoCAD, Manufacturing, Production",https://www.naukri.com/job-listings-production-engineer-dyna-biotech-pune-2-to-6-years-040425009593
Software Engineer,Transperfect,4-8 Yrs,10-18 Lacs PA,Pune,".Net Core, Angular, SQL, Angularjs, Dot Net Core, DoT, .Net, Software",https://www.naukri.com/job-listings-software-engineer-transperfect-pune-4-to-8-years-060325007918
